variant,base_label,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,num_trades,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,cagr_delta,calmar_delta
EMA_regime,R100_GLD_20_S28%,100,GLD,20,0.28,0.1831776589238734,-0.5190657241016554,0.5569663776874357,0.4705115903128122,0.35289877643317347,0.28457338082356454,0.46096250655715243,29,0.20614246196549368,0.15000556581579638,0.6279908338280552,0.45239047488020273,1.3881610438291236,0.00509407363640299,-0.009432082581395607
EMA_reentry,R100_GLD_20_S28%,100,GLD,20,0.28,0.15898134446438594,-0.5754052698637641,0.4808724966399717,0.40079401945745047,0.27629455757683136,0.27794880895065704,0.3848958549895346,43,0.17375659732412285,0.13750599801052266,0.5239761400613638,0.414749839838944,1.2633546531683646,-0.019102240823084454,-0.08603630143773772
ATR_stop_1.5x,R100_GLD_20_S28%,100,GLD,20,0.28,0.11816203772698342,-0.45594298479302725,0.3704261459360558,0.30838924392956907,0.25915967931960265,0.24131015864828273,0.2741784187520125,231,0.1285778710466472,0.1029387758225524,0.40655901134467226,0.31432950308841573,1.2934166451130549,-0.05992154756048698,-0.10317117969496642
ATR_stop_2.0x,R100_GLD_20_S28%,100,GLD,20,0.28,0.10667106292189521,-0.4993541085599854,0.32717295678996583,0.2629928682305631,0.21361807401466737,0.27885086442592555,0.19605843085495664,187,0.1252540158874038,0.07963983474796898,0.392788635819785,0.22829223050829595,1.7205519213038283,-0.07141252236557519,-0.1487127849999017
ATR_stop_2.5x,R100_GLD_20_S28%,100,GLD,20,0.28,0.11862335372364452,-0.43413991035244204,0.3667173264113988,0.29508461082229,0.2732376150981929,0.24380607161763712,0.27326371850218084,149,0.13079579200415714,0.10084681020375141,0.40741470448339207,0.3043280899306778,1.3387351281841784,-0.05946023156382588,-0.08909324391637619
ATR_stop_3.0x,R100_GLD_20_S28%,100,GLD,20,0.28,0.12483902966737492,-0.5406635789529239,0.3860948945229716,0.3126188033374057,0.23089964726150855,0.28823885776944064,0.25270371327115837,119,0.1553604708291989,0.08096653838389178,0.4862104051788551,0.23413545391497173,2.076620166014783,-0.053244555620095474,-0.13143121175306052
ATR_stop_3.5x,R100_GLD_20_S28%,100,GLD,20,0.28,0.11786427118171816,-0.5783572290958053,0.3616025306807617,0.29190588252199245,0.20379147221170785,0.3164031914121827,0.20816563476414462,105,0.13815854706233388,0.08840491592190491,0.42875989437090506,0.260243511492656,1.6475334655288976,-0.060219314105752236,-0.15853938680286123
ATR_stop_4.0x,R100_GLD_20_S28%,100,GLD,20,0.28,0.13895845346250413,-0.5390895030787354,0.431641258145576,0.34544435696050224,0.25776508848514695,0.2889419175616762,0.30095478771764705,87,0.16748867232652676,0.09788065775770982,0.5240052277388297,0.29278926395550264,1.7897009632787175,-0.03912513182496627,-0.10456577052942212
golden_cross,R100_GLD_20_S28%,100,GLD,20,0.28,0.17070415582189669,-0.5862799733799755,0.5290912878613295,0.4249252221944344,0.2911649102352353,0.3082654116995762,0.38507127727187657,15,0.15871917519593315,0.18903710041139776,0.49758173676086115,0.572410704715069,0.86927398922168,-0.007379429465573711,-0.0711659487793338
partial_exit_15pct,R100_GLD_20_S28%,100,GLD,20,0.28,0.17669825959730723,-0.4889100965928043,0.5397561949235824,0.4553134963404397,0.3614125804083626,0.28520255705262354,0.43722700415445015,46,0.19759508832787498,0.1464621085234341,0.6015044722175146,0.4458930168465158,1.348988321170688,-0.0013853256901631694,-0.0009182786062064685
DXY_below_SMA40,R100_GLD_20_S28%,100,GLD,20,0.28,0.1756931673929092,-0.45048035388573165,0.5504860896496246,0.4279208600075561,0.3900129403589381,0.2554052390721714,0.48430160572374353,25,0.203110070181711,0.13621433118526216,0.6419885659300412,0.41754311142914524,1.5375383962932008,-0.0023904178945612087,0.027682081344369003
TIP_above_SMA20,R100_GLD_20_S28%,100,GLD,20,0.28,0.15400819772266927,-0.5467326310495544,0.4786547717029614,0.37523439622564725,0.2816883225481202,0.29370891265539134,0.34731052864696516,35,0.1802462341308373,0.11616712139999952,0.5725502256685159,0.34949141952610274,1.638238290499013,-0.024075387564801126,-0.08064253646644887
GDX_above_SMA10,R100_GLD_20_S28%,100,GLD,20,0.28,0.12187289987183458,-0.5657661094942401,0.38147553196955086,0.28575579302531456,0.2154121603020397,0.2919049567116167,0.23936866526341488,35,0.12870662530368815,0.11189582055252734,0.4232780072348921,0.33575580390952636,1.2606721977885742,-0.056210685415635814,-0.14691869871252938
GLD_low_vol,R100_GLD_20_S28%,100,GLD,20,0.28,0.1699819307311714,-0.5029955599853694,0.5252724550042193,0.4308049486364544,0.33793922701050416,0.28814973294029517,0.40944660793982884,37,0.19666888165121632,0.1315252358885739,0.6121599501636217,0.39910576737506764,1.5338288749616893,-0.008101654556298993,-0.02439163200406491
UGL_above_SMA50,R100_GLD_20_S28%,100,GLD,20,0.28,0.15415121172368207,-0.6000093402967096,0.47191624606325133,0.3894456605057942,0.2569146867737976,0.31272452294758957,0.3266491887519864,35,0.19147772654681483,0.10085921480311577,0.5888093921923439,0.30046737699839726,1.9596449973185763,-0.02393237356378833,-0.10541617224077149
EMA_regime,R40_UGL_25_S6%,40,UGL,25,0.06,0.12416886567601582,-0.38698284315052855,0.38785561679885083,0.3343542508561107,0.3208640069547389,0.21348245352205872,0.3380552569326676,230,0.1284549741109633,0.11794790567015578,0.3995429259704113,0.36868527570464016,1.0836964541282406,-0.008372547153437493,-0.03797883220396853
